Entropy	Region	Response
7.38	R2	Exclusion
-0.30	R3	Exclusion
11.89	R4	Exclusion
7.68	R1	Exclusion
10.40	R2	Exclusion
10.45	R3	Exclusion
8.76	R4	Exclusion
1.83	R1	Stable
11.54	R2	Stable
8.46	R3	Stable
6.54	R4	Stable
9.45	R1	Exclusion
12.25	R2	Exclusion
8.63	R3	Exclusion
6.34	R4	Exclusion
10.03	R1	Exclusion
5.44	R2	Exclusion
10.28	R3	Exclusion
6.23	R4	Exclusion
10.67	R1	Exclusion
1.26	R2	Exclusion
9.79	R3	Exclusion
9.89	R4	Exclusion
6.12	R1	Exclusion
12.04	R2	Exclusion
7.80	R3	Exclusion
11.82	R4	Exclusion
9.11	R1	Exclusion
6.67	R2	Exclusion
6.29	R3	Exclusion
12.41	R4	Exclusion
10.06	R1	Stable
7.44	R2	Stable
8.17	R3	Stable
7.69	R4	Stable
6.86	R1	Exclusion
8.26	R2	Exclusion
7.52	R3	Exclusion
9.54	R4	Exclusion
8.77	R1	Stable
5.50	R2	Stable
9.80	R3	Stable
12.34	R4	Stable
10.03	R1	Stable
10.93	R2	Stable
8.88	R3	Stable
9.48	R4	Stable
10.88	R1	Exclusion
8.67	R2	Exclusion
-10.58	R3	Exclusion
-1.57	R4	Exclusion
7.30	R1	Inclusion
8.72	R2	Inclusion
6.38	R3	Inclusion
8.22	R4	Inclusion
9.14	R1	Inclusion
9.00	R2	Inclusion
7.24	R3	Inclusion
11.48	R4	Inclusion
9.46	R1	Exclusion
-1.52	R2	Exclusion
6.99	R3	Exclusion
7.56	R4	Exclusion
8.05	R1	Inclusion
0.53	R2	Inclusion
2.71	R3	Inclusion
11.05	R4	Inclusion
11.00	R1	Stable
8.01	R2	Stable
7.79	R3	Stable
8.89	R4	Stable
8.38	R1	Exclusion
9.69	R2	Exclusion
8.35	R3	Exclusion
4.00	R4	Exclusion
6.19	R1	Exclusion
9.78	R2	Exclusion
4.95	R3	Exclusion
7.32	R4	Exclusion
9.72	R1	Stable
10.90	R2	Stable
4.21	R3	Stable
9.92	R4	Stable
10.07	R1	Stable
6.87	R2	Stable
7.81	R3	Stable
7.78	R4	Stable
8.07	R1	Exclusion
6.31	R2	Exclusion
8.41	R3	Exclusion
8.08	R4	Exclusion
8.76	R1	Exclusion
9.53	R2	Exclusion
6.62	R3	Exclusion
9.71	R4	Exclusion
10.20	R1	Exclusion
0.07	R2	Exclusion
8.41	R3	Exclusion
9.99	R4	Exclusion
11.00	R1	Stable
8.55	R2	Stable
10.67	R3	Stable
5.14	R4	Stable
7.93	R1	Exclusion
12.63	R2	Exclusion
5.91	R3	Exclusion
11.63	R4	Exclusion
9.65	R1	Stable
2.30	R2	Stable
9.60	R3	Stable
9.01	R4	Stable
5.46	R1	Stable
6.86	R2	Stable
5.94	R3	Stable
6.97	R4	Stable
10.08	R1	Exclusion
10.33	R2	Exclusion
10.65	R3	Exclusion
12.37	R4	Exclusion
8.73	R1	Stable
7.92	R2	Stable
10.03	R3	Stable
12.76	R4	Stable
9.39	R1	Exclusion
9.61	R2	Exclusion
8.59	R3	Exclusion
7.77	R4	Exclusion
8.38	R1	Inclusion
11.15	R2	Inclusion
6.62	R3	Inclusion
6.06	R4	Inclusion
9.72	R1	Stable
10.90	R2	Stable
-4.94	R3	Stable
9.92	R4	Stable
5.24	R1	Stable
13.18	R2	Stable
1.98	R3	Stable
7.62	R4	Stable
8.33	R1	Stable
7.47	R2	Stable
2.31	R3	Stable
10.24	R4	Stable
8.73	R1	Exclusion
0.75	R2	Exclusion
10.24	R3	Exclusion
5.32	R4	Exclusion
10.15	R1	Exclusion
6.83	R2	Exclusion
10.44	R3	Exclusion
6.38	R4	Exclusion
8.70	R1	Exclusion
4.55	R2	Exclusion
7.00	R3	Exclusion
7.71	R4	Exclusion
9.10	R1	Exclusion
8.16	R2	Exclusion
9.11	R3	Exclusion
10.72	R4	Exclusion
9.73	R1	Exclusion
7.11	R2	Exclusion
10.28	R3	Exclusion
10.87	R4	Exclusion
7.54	R1	Stable
5.50	R2	Stable
8.49	R3	Stable
8.40	R4	Stable
10.88	R1	Inclusion
8.29	R2	Inclusion
8.38	R3	Inclusion
9.89	R4	Inclusion
8.27	R1	Exclusion
8.32	R2	Exclusion
6.97	R3	Exclusion
9.48	R4	Exclusion
6.91	R1	Inclusion
10.10	R2	Inclusion
8.62	R3	Inclusion
12.11	R4	Inclusion
2.30	R1	Exclusion
9.90	R2	Exclusion
7.52	R3	Exclusion
4.98	R4	Exclusion
8.00	R1	Exclusion
8.72	R2	Exclusion
9.14	R3	Exclusion
10.73	R4	Exclusion
8.14	R1	Stable
8.28	R2	Stable
8.24	R3	Stable
8.95	R4	Stable
10.47	R1	Stable
3.07	R2	Stable
10.67	R3	Stable
12.41	R4	Stable
4.30	R1	Exclusion
6.42	R2	Exclusion
8.41	R3	Exclusion
10.24	R4	Exclusion
7.52	R1	Stable
4.70	R2	Stable
6.36	R3	Stable
5.32	R4	Stable
3.20	R1	Exclusion
6.19	R2	Exclusion
7.54	R3	Exclusion
6.33	R4	Exclusion
9.22	R1	Exclusion
4.73	R2	Exclusion
7.44	R3	Exclusion
10.27	R4	Exclusion
10.67	R1	Exclusion
8.61	R2	Exclusion
6.05	R3	Exclusion
4.26	R4	Exclusion
4.44	R1	Exclusion
8.43	R2	Exclusion
8.00	R3	Exclusion
12.65	R4	Exclusion
8.24	R1	Inclusion
6.67	R2	Inclusion
8.33	R3	Inclusion
6.83	R4	Inclusion
9.88	R1	Stable
5.65	R2	Stable
6.43	R3	Stable
9.36	R4	Stable
9.88	R1	Inclusion
1.71	R2	Inclusion
6.38	R3	Inclusion
6.26	R4	Inclusion
9.57	R1	Exclusion
5.45	R2	Exclusion
6.58	R3	Exclusion
5.57	R4	Exclusion
10.67	R1	Exclusion
8.12	R2	Exclusion
6.35	R3	Exclusion
13.02	R4	Exclusion
8.40	R1	Exclusion
11.54	R2	Exclusion
10.43	R3	Exclusion
10.63	R4	Exclusion
8.38	R1	Inclusion
4.13	R2	Inclusion
7.98	R3	Inclusion
6.74	R4	Inclusion
7.80	R1	Exclusion
4.05	R2	Exclusion
7.68	R3	Exclusion
11.12	R4	Exclusion
10.03	R1	Stable
11.15	R2	Stable
6.32	R3	Stable
8.79	R4	Stable
8.38	R1	Exclusion
6.45	R2	Exclusion
8.65	R3	Exclusion
9.26	R4	Exclusion
9.16	R1	Exclusion
9.05	R2	Exclusion
9.37	R3	Exclusion
10.82	R4	Exclusion
8.95	R1	Exclusion
9.32	R2	Exclusion
8.93	R3	Exclusion
13.03	R4	Exclusion
11.01	R1	Stable
5.89	R2	Stable
6.99	R3	Stable
6.59	R4	Stable
10.08	R1	Stable
6.73	R2	Stable
7.07	R3	Stable
7.12	R4	Stable
8.38	R1	Stable
9.77	R2	Stable
8.59	R3	Stable
9.45	R4	Stable
11.81	R1	Stable
-0.14	R2	Stable
8.77	R3	Stable
8.56	R4	Stable
4.41	R1	Inclusion
10.97	R2	Inclusion
9.14	R3	Inclusion
9.40	R4	Inclusion
8.68	R1	Exclusion
9.99	R2	Exclusion
8.62	R3	Exclusion
8.39	R4	Exclusion
10.45	R1	Exclusion
9.45	R2	Exclusion
8.88	R3	Exclusion
6.09	R4	Exclusion
11.08	R1	Exclusion
6.85	R2	Exclusion
10.28	R3	Exclusion
12.39	R4	Exclusion
8.14	R1	Stable
9.39	R2	Stable
7.65	R3	Stable
9.78	R4	Stable
10.45	R1	Inclusion
4.52	R2	Inclusion
5.52	R3	Inclusion
11.55	R4	Inclusion
5.06	R1	Stable
8.71	R2	Stable
7.27	R3	Stable
8.77	R4	Stable
10.77	R1	Exclusion
6.63	R2	Exclusion
6.95	R3	Exclusion
9.52	R4	Exclusion
5.50	R1	Exclusion
13.75	R2	Exclusion
7.93	R3	Exclusion
11.57	R4	Exclusion
7.15	R1	Exclusion
6.57	R2	Exclusion
9.68	R3	Exclusion
7.67	R4	Exclusion
8.83	R1	Inclusion
7.90	R2	Inclusion
7.64	R3	Inclusion
7.39	R4	Inclusion
8.99	R1	Inclusion
5.62	R2	Inclusion
8.88	R3	Inclusion
7.67	R4	Inclusion
8.65	R1	Exclusion
3.60	R2	Exclusion
9.46	R3	Exclusion
8.36	R4	Exclusion
9.80	R1	Exclusion
12.23	R2	Exclusion
5.94	R3	Exclusion
7.91	R4	Exclusion
10.44	R1	Exclusion
11.94	R2	Exclusion
1.07	R3	Exclusion
6.97	R4	Exclusion
5.76	R1	Stable
10.31	R2	Stable
9.55	R3	Stable
6.85	R4	Stable
10.24	R1	Stable
-0.23	R2	Stable
6.62	R3	Stable
10.80	R4	Stable
8.07	R1	Exclusion
6.67	R2	Exclusion
7.55	R3	Exclusion
13.02	R4	Exclusion
7.37	R1	Inclusion
4.91	R2	Inclusion
6.63	R3	Inclusion
9.31	R4	Inclusion
8.92	R1	Exclusion
7.09	R2	Exclusion
10.16	R3	Exclusion
11.60	R4	Exclusion
8.41	R1	Stable
5.24	R2	Stable
9.08	R3	Stable
8.21	R4	Stable
9.22	R1	Exclusion
8.80	R2	Exclusion
7.94	R3	Exclusion
11.32	R4	Exclusion
10.77	R1	Inclusion
11.04	R2	Inclusion
4.34	R3	Inclusion
9.72	R4	Inclusion
8.35	R1	Exclusion
10.51	R2	Exclusion
9.46	R3	Exclusion
5.99	R4	Exclusion
9.11	R1	Stable
8.73	R2	Stable
5.31	R3	Stable
10.45	R4	Stable
7.09	R1	Exclusion
8.30	R2	Exclusion
11.08	R3	Exclusion
11.27	R4	Exclusion
7.66	R1	Inclusion
8.39	R2	Inclusion
8.04	R3	Inclusion
6.80	R4	Inclusion
10.10	R1	Exclusion
10.78	R2	Exclusion
7.83	R3	Exclusion
7.37	R4	Exclusion
9.60	R1	Exclusion
9.05	R2	Exclusion
8.34	R3	Exclusion
10.84	R4	Exclusion
9.16	R1	Exclusion
9.17	R2	Exclusion
9.60	R3	Exclusion
11.75	R4	Exclusion
9.30	R1	Exclusion
10.81	R2	Exclusion
8.56	R3	Exclusion
8.84	R4	Exclusion
10.67	R1	Inclusion
10.23	R2	Inclusion
9.26	R3	Inclusion
8.80	R4	Inclusion
9.14	R1	Exclusion
6.50	R2	Exclusion
8.82	R3	Exclusion
9.50	R4	Exclusion
9.01	R1	Inclusion
9.04	R2	Inclusion
9.45	R3	Inclusion
10.09	R4	Inclusion
8.41	R1	Exclusion
4.99	R2	Exclusion
7.88	R3	Exclusion
8.15	R4	Exclusion
9.22	R1	Stable
10.22	R2	Stable
11.11	R3	Stable
8.62	R4	Stable
8.34	R1	Exclusion
4.84	R2	Exclusion
7.40	R3	Exclusion
11.26	R4	Exclusion
8.70	R1	Exclusion
8.67	R2	Exclusion
9.79	R3	Exclusion
9.88	R4	Exclusion
6.02	R1	Exclusion
9.78	R2	Exclusion
4.95	R3	Exclusion
7.32	R4	Exclusion
5.20	R1	Exclusion
7.77	R2	Exclusion
8.56	R3	Exclusion
8.82	R4	Exclusion
9.99	R1	Exclusion
6.80	R2	Exclusion
8.63	R3	Exclusion
6.28	R4	Exclusion
8.56	R1	Exclusion
8.93	R2	Exclusion
6.55	R3	Exclusion
7.42	R4	Exclusion
7.70	R1	Exclusion
8.57	R2	Exclusion
8.37	R3	Exclusion
6.82	R4	Exclusion
8.76	R1	Stable
8.45	R2	Stable
6.60	R3	Stable
8.00	R4	Stable
9.60	R1	Exclusion
6.82	R2	Exclusion
7.70	R3	Exclusion
11.58	R4	Exclusion
8.04	R1	Exclusion
3.66	R2	Exclusion
8.40	R3	Exclusion
8.28	R4	Exclusion
9.66	R1	Stable
5.20	R2	Stable
1.50	R3	Stable
11.80	R4	Stable
10.24	R1	Exclusion
6.52	R2	Exclusion
7.94	R3	Exclusion
8.28	R4	Exclusion
6.49	R1	Exclusion
8.76	R2	Exclusion
10.65	R3	Exclusion
8.07	R4	Exclusion
9.49	R1	Inclusion
7.13	R2	Inclusion
5.16	R3	Inclusion
6.96	R4	Inclusion
10.07	R1	Exclusion
4.90	R2	Exclusion
8.46	R3	Exclusion
6.89	R4	Exclusion
9.82	R1	Exclusion
11.01	R2	Exclusion
-0.05	R3	Exclusion
8.79	R4	Exclusion
8.55	R1	Inclusion
6.89	R2	Inclusion
7.87	R3	Inclusion
7.10	R4	Inclusion
8.40	R1	Exclusion
5.89	R2	Exclusion
8.66	R3	Exclusion
8.72	R4	Exclusion
10.13	R1	Exclusion
9.76	R2	Exclusion
8.88	R3	Exclusion
9.57	R4	Exclusion
7.23	R1	Exclusion
7.49	R2	Exclusion
2.97	R3	Exclusion
12.49	R4	Exclusion
10.77	R1	Exclusion
4.04	R2	Exclusion
4.44	R3	Exclusion
9.49	R4	Exclusion
10.24	R1	Exclusion
3.82	R2	Exclusion
7.66	R3	Exclusion
4.60	R4	Exclusion
10.57	R1	Inclusion
8.21	R2	Inclusion
8.38	R3	Inclusion
6.15	R4	Inclusion
10.86	R1	Inclusion
6.74	R2	Inclusion
4.36	R3	Inclusion
9.31	R4	Inclusion
8.62	R1	Inclusion
3.90	R2	Inclusion
-0.35	R3	Inclusion
9.22	R4	Inclusion
10.08	R1	Exclusion
9.48	R2	Exclusion
6.69	R3	Exclusion
12.68	R4	Exclusion
8.49	R1	Inclusion
9.81	R2	Inclusion
10.29	R3	Inclusion
9.66	R4	Inclusion
9.22	R1	Stable
7.58	R2	Stable
10.22	R3	Stable
7.47	R4	Stable
8.76	R1	Stable
10.78	R2	Stable
6.62	R3	Stable
10.43	R4	Stable
10.57	R1	Exclusion
4.24	R2	Exclusion
7.09	R3	Exclusion
7.22	R4	Exclusion
8.73	R1	Stable
8.48	R2	Stable
7.54	R3	Stable
8.34	R4	Stable
10.86	R1	Stable
8.31	R2	Stable
9.73	R3	Stable
7.23	R4	Stable
7.77	R1	Stable
-11.45	R2	Stable
10.07	R3	Stable
10.92	R4	Stable
9.27	R1	Exclusion
11.58	R2	Exclusion
8.31	R3	Exclusion
10.36	R4	Exclusion
8.07	R1	Inclusion
10.88	R2	Inclusion
6.29	R3	Inclusion
12.25	R4	Inclusion
6.78	R1	Exclusion
10.46	R2	Exclusion
6.16	R3	Exclusion
4.02	R4	Exclusion
9.79	R1	Stable
5.92	R2	Stable
10.57	R3	Stable
7.96	R4	Stable
8.68	R1	Exclusion
7.14	R2	Exclusion
6.69	R3	Exclusion
9.81	R4	Exclusion
10.74	R1	Exclusion
6.14	R2	Exclusion
10.86	R3	Exclusion
3.44	R4	Exclusion
9.26	R1	Exclusion
7.07	R2	Exclusion
8.41	R3	Exclusion
7.50	R4	Exclusion
9.88	R1	Exclusion
10.94	R2	Exclusion
9.72	R3	Exclusion
9.23	R4	Exclusion
10.91	R1	Inclusion
5.80	R2	Inclusion
8.62	R3	Inclusion
9.04	R4	Inclusion
8.38	R1	Stable
10.99	R2	Stable
7.66	R3	Stable
14.14	R4	Stable
10.15	R1	Exclusion
2.55	R2	Exclusion
7.63	R3	Exclusion
6.04	R4	Exclusion
7.83	R1	Stable
7.61	R2	Stable
8.69	R3	Stable
7.88	R4	Stable
9.89	R1	Exclusion
-1.63	R2	Exclusion
8.34	R3	Exclusion
7.92	R4	Exclusion
10.86	R1	Exclusion
8.39	R2	Exclusion
8.91	R3	Exclusion
10.84	R4	Exclusion
9.37	R1	Exclusion
12.78	R2	Exclusion
7.23	R3	Exclusion
10.12	R4	Exclusion
5.79	R1	Inclusion
-9.90	R2	Inclusion
9.45	R3	Inclusion
7.91	R4	Inclusion
10.77	R1	Inclusion
8.86	R2	Inclusion
9.79	R3	Inclusion
6.04	R4	Inclusion
5.56	R1	Exclusion
11.96	R2	Exclusion
9.54	R3	Exclusion
6.38	R4	Exclusion
10.90	R1	Exclusion
7.31	R2	Exclusion
-2.13	R3	Exclusion
10.68	R4	Exclusion
8.56	R1	Exclusion
8.46	R2	Exclusion
6.43	R3	Exclusion
12.13	R4	Exclusion
6.86	R1	Exclusion
6.47	R2	Exclusion
7.52	R3	Exclusion
9.54	R4	Exclusion
9.85	R1	Exclusion
8.67	R2	Exclusion
7.83	R3	Exclusion
5.93	R4	Exclusion
7.93	R1	Exclusion
7.61	R2	Exclusion
8.05	R3	Exclusion
5.96	R4	Exclusion
8.38	R1	Exclusion
6.50	R2	Exclusion
8.62	R3	Exclusion
9.78	R4	Exclusion
7.76	R1	Stable
6.43	R2	Stable
9.14	R3	Stable
4.23	R4	Stable
10.22	R1	Stable
8.61	R2	Stable
9.79	R3	Stable
7.84	R4	Stable
9.07	R1	Exclusion
10.10	R2	Exclusion
7.39	R3	Exclusion
10.46	R4	Exclusion
10.36	R1	Exclusion
8.03	R2	Exclusion
4.83	R3	Exclusion
5.79	R4	Exclusion
10.47	R1	Exclusion
4.06	R2	Exclusion
9.81	R3	Exclusion
12.40	R4	Exclusion
5.86	R1	Inclusion
7.11	R2	Inclusion
7.66	R3	Inclusion
10.45	R4	Inclusion
7.94	R1	Inclusion
6.87	R2	Inclusion
6.80	R3	Inclusion
8.41	R4	Inclusion
4.22	R1	Stable
8.91	R2	Stable
2.63	R3	Stable
7.07	R4	Stable
10.24	R1	Exclusion
8.43	R2	Exclusion
7.66	R3	Exclusion
4.60	R4	Exclusion
9.22	R1	Exclusion
6.71	R2	Exclusion
8.07	R3	Exclusion
8.55	R4	Exclusion
-0.37	R1	Stable
-6.12	R2	Stable
11.00	R3	Stable
4.49	R4	Stable
11.81	R1	Stable
9.35	R2	Stable
10.65	R3	Stable
6.21	R4	Stable
8.16	R1	Exclusion
0.63	R2	Exclusion
8.76	R3	Exclusion
8.19	R4	Exclusion
9.80	R1	Exclusion
9.52	R2	Exclusion
10.75	R3	Exclusion
7.71	R4	Exclusion
4.79	R1	Exclusion
5.73	R2	Exclusion
8.95	R3	Exclusion
6.50	R4	Exclusion
9.88	R1	Stable
5.21	R2	Stable
8.49	R3	Stable
8.19	R4	Stable
11.01	R1	Stable
6.85	R2	Stable
7.23	R3	Stable
7.81	R4	Stable
10.51	R1	Exclusion
8.93	R2	Exclusion
7.41	R3	Exclusion
9.74	R4	Exclusion
11.01	R1	Exclusion
7.80	R2	Exclusion
7.52	R3	Exclusion
7.44	R4	Exclusion
8.88	R1	Stable
11.60	R2	Stable
10.77	R3	Stable
9.05	R4	Stable
5.20	R1	Exclusion
10.73	R2	Exclusion
7.52	R3	Exclusion
8.95	R4	Exclusion
10.51	R1	Stable
7.39	R2	Stable
5.69	R3	Stable
3.61	R4	Stable
6.52	R1	Stable
7.27	R2	Stable
5.88	R3	Stable
7.94	R4	Stable
9.13	R1	Exclusion
9.31	R2	Exclusion
6.60	R3	Exclusion
6.95	R4	Exclusion
9.89	R1	Inclusion
8.91	R2	Inclusion
-3.15	R3	Inclusion
10.82	R4	Inclusion
11.08	R1	Exclusion
8.41	R2	Exclusion
10.86	R3	Exclusion
6.71	R4	Exclusion
10.91	R1	Exclusion
5.19	R2	Exclusion
6.99	R3	Exclusion
13.42	R4	Exclusion
8.62	R1	Exclusion
12.40	R2	Exclusion
11.08	R3	Exclusion
10.02	R4	Exclusion
10.28	R1	Exclusion
8.56	R2	Exclusion
9.25	R3	Exclusion
9.54	R4	Exclusion
9.25	R1	Stable
10.36	R2	Stable
7.83	R3	Stable
7.78	R4	Stable
5.98	R1	Stable
1.58	R2	Stable
10.03	R3	Stable
10.35	R4	Stable
9.49	R1	Stable
7.38	R2	Stable
6.59	R3	Stable
7.17	R4	Stable
8.04	R1	Stable
10.07	R2	Stable
9.01	R3	Stable
8.26	R4	Stable
11.08	R1	Inclusion
-2.54	R2	Inclusion
9.16	R3	Inclusion
6.77	R4	Inclusion
10.22	R1	Inclusion
1.78	R2	Inclusion
10.08	R3	Inclusion
5.73	R4	Inclusion
8.73	R1	Inclusion
5.32	R2	Inclusion
0.33	R3	Inclusion
11.70	R4	Inclusion
8.41	R1	Stable
6.88	R2	Stable
9.65	R3	Stable
6.38	R4	Stable
8.57	R1	Inclusion
7.63	R2	Inclusion
8.83	R3	Inclusion
12.32	R4	Inclusion
10.49	R1	Exclusion
4.57	R2	Exclusion
7.36	R3	Exclusion
11.11	R4	Exclusion
9.79	R1	Inclusion
7.09	R2	Inclusion
10.47	R3	Inclusion
3.91	R4	Inclusion
9.10	R1	Stable
10.73	R2	Stable
8.91	R3	Stable
8.00	R4	Stable
7.44	R1	Exclusion
4.97	R2	Exclusion
7.77	R3	Exclusion
10.03	R4	Exclusion
7.10	R1	Exclusion
11.33	R2	Exclusion
8.56	R3	Exclusion
8.68	R4	Exclusion
10.67	R1	Exclusion
12.47	R2	Exclusion
8.62	R3	Exclusion
8.57	R4	Exclusion
5.36	R1	Stable
6.91	R2	Stable
10.67	R3	Stable
6.47	R4	Stable
8.99	R1	Stable
9.71	R2	Stable
1.50	R3	Stable
10.04	R4	Stable
8.60	R1	Inclusion
6.21	R2	Inclusion
6.78	R3	Inclusion
8.49	R4	Inclusion
9.60	R1	Exclusion
6.92	R2	Exclusion
5.97	R3	Exclusion
9.95	R4	Exclusion
8.02	R1	Exclusion
8.64	R2	Exclusion
9.37	R3	Exclusion
6.98	R4	Exclusion
7.36	R1	Stable
8.88	R2	Stable
3.37	R3	Stable
6.90	R4	Stable
9.39	R1	Exclusion
8.67	R2	Exclusion
8.39	R3	Exclusion
7.77	R4	Exclusion
8.41	R1	Exclusion
8.74	R2	Exclusion
5.99	R3	Exclusion
6.67	R4	Exclusion
7.00	R1	Exclusion
2.81	R2	Exclusion
7.45	R3	Exclusion
7.27	R4	Exclusion
7.12	R1	Inclusion
7.46	R2	Inclusion
8.65	R3	Inclusion
10.00	R4	Inclusion
7.64	R1	Stable
6.57	R2	Stable
10.24	R3	Stable
8.49	R4	Stable
8.88	R1	Stable
8.00	R2	Stable
8.68	R3	Stable
8.78	R4	Stable
9.43	R1	Stable
10.35	R2	Stable
11.08	R3	Stable
12.17	R4	Stable
9.65	R1	Exclusion
6.05	R2	Exclusion
10.13	R3	Exclusion
